timeMsg,FromUserId,FromNickName,MsgType,Content,MsgRandom
2021-02-12 11:16:46,1254116206,阿拉灯神丁🐒,VideoMsg,"{""Content"":""[视频]你的QQ暂不支持查看视频短片，请升级到最新版本后查看。"",""ForwordBuf"":""CqYBMzA1MTAyMDEwMDA0MzYzMDM0MDIwMTAwMDIwNDRhYzA0YjZlMDIwMzdhMWFmZTAyMDQ1MDk3YTZkZjAyMDQ2MDI1ZjMxYzA0MTA5Mzc3ZGM1MjkyOTQ4ODBjMjdhMGFlMTAwM2Q4YTk4MjAyMDM3YTFkYjkwMjAxMDAwNDE0MDAwMDAwMDg2NjY5NmM2NTc0Nzk3MDY1MDAwMDAwMDQzMTMwMzAzMxIQk3fcUpKUiAwnoK4QA9ipgho9L3N0b3JhZ2UvZW11bGF0ZWQvMC9QaWN0dXJlcy9XZWlYaW4vbW1leHBvcnQxNjEzMDk5Njk1NDk5Lm1wNCACKAYw57YhOKAEQLAFShDkoJX9ylZp6EbDs/BAt7PaUgphbGJ1bV9mbG93WNaxAmAAaP////8PcP////8PeAGAAQCIAQCQAQCYAQHCAQo4AFgCYAJqAHIA"",""ForwordField"":19,""Tips"":""[短视频]"",""VideoMd5"":""k3fcUpKUiAwnoK4QA9ipgg=="",""VideoSize"":547687,""VideoUrl"":""MzA1MTAyMDEwMDA0MzYzMDM0MDIwMTAwMDIwNDRhYzA0YjZlMDIwMzdhMWFmZTAyMDQ1MDk3YTZkZjAyMDQ2MDI1ZjMxYzA0MTA5Mzc3ZGM1MjkyOTQ4ODBjMjdhMGFlMTAwM2Q4YTk4MjAyMDM3YTFkYjkwMjAxMDAwNDE0MDAwMDAwMDg2NjY5NmM2NTc0Nzk3MDY1MDAwMDAwMDQzMTMwMzAzMw==""}",771173311
﻿2021-02-13 11:28:01,2854196310,Q群管家,PicMsg,"{""Content"":""@华为鸿蒙技术支持 请观看视频。学习基础知识。群文件有镜像和刻录工具。群公告有教程。请多多关注贴吧FreeBSD吧！\n——来自群管理员（1039573913）的编辑"",""GroupPic"":[{""FileId"":2359209744,""FileMd5"":""A1sD8H3WyjQw1IMQigJsDA=="",""FileSize"":63772,""ForwordBuf"":""Eip7MDM1YjAzZjAtN2RkNi1jYTM0LTMwZDQtODMxMDhhMDI2YzBjfS5qcGc4kN765AhAAEgAWgBgAWoQA1sD8H3WyjQw1IMQigJsDHJbL2djaGF0cGljX25ldy8yODU0MTk2MzEwLzgxNzUwNzkxMC0yMzU5MjA5NzQ0LTAzNUIwM0YwN0RENkNBMzQzMEQ0ODMxMDhBMDI2QzBDLzE5OD90ZXJtPTI1NYIBWS9nY2hhdHBpY19uZXcvMjg1NDE5NjMxMC84MTc1MDc5MTAtMjM1OTIwOTc0NC0wMzVCMDNGMDdERDZDQTM0MzBENDgzMTA4QTAyNkMwQy8wP3Rlcm09MjU1oAHoB7AB6Ae4AZMGyAGc8gPYAcYB4AGbAfoBWy9nY2hhdHBpY19uZXcvMjg1NDE5NjMxMC84MTc1MDc5MTAtMjM1OTIwOTc0NC0wMzVCMDNGMDdERDZDQTM0MzBENDgzMTA4QTAyNkMwQy80MDA/dGVybT0yNTWAAoADiAKuAg=="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/2854196310/817507910-2534335053-035B03F07DD6CA3430D483108A026C0C/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]"",""UserID"":[3048742365]}",1722881525
﻿2021-02-13 13:46:59,2775792796,古明地𥚃,TextMsg,海狗又来了,1830480657
﻿2021-02-14 12:16:37,2854196310,Q群管家,PicMsg,"{""Content"":""@天下雄 请观看视频。学习基础知识。群文件有镜像和刻录工具。群公告有教程。请多多关注贴吧FreeBSD吧！\n——来自群管理员（1039573913）的编辑"",""GroupPic"":[{""FileId"":2998398267,""FileMd5"":""A1sD8H3WyjQw1IMQigJsDA=="",""FileSize"":63772,""ForwordBuf"":""Eip7MDM1YjAzZjAtN2RkNi1jYTM0LTMwZDQtODMxMDhhMDI2YzBjfS5qcGc4u9rflQtAAEgAWgBgAWoQA1sD8H3WyjQw1IMQigJsDHJbL2djaGF0cGljX25ldy8yODU0MTk2MzEwLzgxNzUwNzkxMC0yOTk4Mzk4MjY3LTAzNUIwM0YwN0RENkNBMzQzMEQ0ODMxMDhBMDI2QzBDLzE5OD90ZXJtPTI1NYIBWS9nY2hhdHBpY19uZXcvMjg1NDE5NjMxMC84MTc1MDc5MTAtMjk5ODM5ODI2Ny0wMzVCMDNGMDdERDZDQTM0MzBENDgzMTA4QTAyNkMwQy8wP3Rlcm09MjU1oAHoB7AB6Ae4AZMGyAGc8gPYAcYB4AGbAfoBWy9nY2hhdHBpY19uZXcvMjg1NDE5NjMxMC84MTc1MDc5MTAtMjk5ODM5ODI2Ny0wMzVCMDNGMDdERDZDQTM0MzBENDgzMTA4QTAyNkMwQy80MDA/dGVybT0yNTWAAoADiAKuAg=="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/2854196310/817507910-2534335053-035B03F07DD6CA3430D483108A026C0C/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]"",""UserID"":[2303158704]}",1939433255
﻿2021-02-14 12:16:43,2775792796,古明地𥚃,PicMsg,"{""GroupPic"":[{""FileId"":3031928504,""FileMd5"":""+/a/dkL0Sk6GZpg+kEZILg=="",""FileSize"":19804,""ForwordBuf"":""EiRGQkY2QkY3NjQyRjQ0QTRFODY2Njk4M0U5MDQ2NDgyRS5qcGcyVhU2IDg2ZUExQmI0Yjc4ZWI4N2I5NzQ3OTggICAgICA1ME1ldmFWN2RWYlZ5SEVKU1JGQkY2QkY3NjQyRjQ0QTRFODY2Njk4M0U5MDQ2NDgyRS5qcGdBOLid3qULQJiP3dwHSFBQQloQTWV2YVY3ZFZiVnlIRUpTUmABahD79r92QvRKToZmmD6QRkguclsvZ2NoYXRwaWNfbmV3LzI3NzU3OTI3OTYvODE3NTA3OTEwLTMwMzE5Mjg1MDQtRkJGNkJGNzY0MkY0NEE0RTg2NjY5ODNFOTA0NjQ4MkUvMTk4P3Rlcm09MjU1ggFZL2djaGF0cGljX25ldy8yNzc1NzkyNzk2LzgxNzUwNzkxMC0zMDMxOTI4NTA0LUZCRjZCRjc2NDJGNDRBNEU4NjY2OTgzRTkwNDY0ODJFLzA/dGVybT0yNTWgAegHsAG+AbgB3wLAAcgByAHcmgHQAQDYAWvgAcYB6AEA8AEA+gFbL2djaGF0cGljX25ldy8yNzc1NzkyNzk2LzgxNzUwNzkxMC0zMDMxOTI4NTA0LUZCRjZCRjc2NDJGNDRBNEU4NjY2OTgzRTkwNDY0ODJFLzQwMD90ZXJtPTI1NYACvgGIAt8CkgIKCAAQADIAUAB4CA=="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/2775792796/817507910-2534335053-FBF6BF7642F44A4E8666983E9046482E/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",680830360
﻿2021-02-14 13:20:40,2775792796,古明地𥚃,PicMsg,"{""GroupPic"":[{""FileId"":2966402706,""FileMd5"":""LXb3R7uQNsVXezKvQoQgRg=="",""FileSize"":168218,""ForwordBuf"":""EiQyRDc2Rjc0N0JCOTAzNkM1NTc3QjMyQUY0Mjg0MjA0Ni5qcGcyVhU2IDg2ZUExQmIwY2ZiNjkyZGNjMjVmOTQgICAgIDFiYkt6TWl1cGtxU2NaZEJTQ1kyRDc2Rjc0N0JCOTAzNkM1NTc3QjMyQUY0Mjg0MjA0Ni5qcGdBOJLtvoYLQJS/ieYNSLsDUEJaEEt6TWl1cGtxU2NaZEJTQ1lgAWoQLXb3R7uQNsVXezKvQoQgRnJbL2djaGF0cGljX25ldy8yNzc1NzkyNzk2LzgxNzUwNzkxMC0yOTY2NDAyNzA2LTJENzZGNzQ3QkI5MDM2QzU1NzdCMzJBRjQyODQyMDQ2LzE5OD90ZXJtPTI1NYIBWS9nY2hhdHBpY19uZXcvMjc3NTc5Mjc5Ni84MTc1MDc5MTAtMjk2NjQwMjcwNi0yRDc2Rjc0N0JCOTAzNkM1NTc3QjMyQUY0Mjg0MjA0Ni8wP3Rlcm09MjU1oAHoB7ABgw+4AbgIwAHIAcgBmqIK0AEA2AHGAeABb+gBAPABAPoBWy9nY2hhdHBpY19uZXcvMjc3NTc5Mjc5Ni84MTc1MDc5MTAtMjk2NjQwMjcwNi0yRDc2Rjc0N0JCOTAzNkM1NTc3QjMyQUY0Mjg0MjA0Ni80MDA/dGVybT0yNTWAAoADiALXAZICCggAEAAyAFAAeAg="",""ForwordField"":8,""Url"":""http://gchat.qpic.cn/gchatpic_new/2775792796/817507910-2534335053-2D76F747BB9036C5577B32AF42842046/0?vuin=2593923636\u0026term=255\u0026pictype=0""}],""Tips"":""[群图片]""}",1008587685
﻿2021-02-14 13:20:45,2775792796,古明地𥚃,TextMsg,年年,1822993401
﻿2021-02-14 13:20:48,2775792796,古明地𥚃,TextMsg,你哥,1704388561
﻿2021-02-14 13:21:02,2775792796,古明地𥚃,TextMsg,我知道你的腿在哪，我也知道你的尾巴在哪，但是......头呢？,1358394904
﻿2021-02-14 13:22:20,2775792796,古明地𥚃,TextMsg,失去梦想变成烧鸡,69545715
